City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,yarmouth,41.7057,-70.2286,16.65,93,100,3.6,US,1684970942
84,manokwari,-0.8667,134.0833,27.86,74,100,1.44,ID,1684970943
85,jinji,23.2281,110.8261,24.64,96,99,0.91,CN,1684970943
86,cidreira,-30.1811,-50.2056,20.96,88,3,6.92,BR,1684970943
87,bamboo flat,11.7,92.7167,28.05,83,40,2.06,IN,1684970944
88,bredasdorp,-34.5322,20.0403,12.78,58,17,2.79,ZA,1684970944
89,naze,28.3667,129.4833,22.51,73,68,4.25,JP,1684970944
90,tarfaya,27.9358,-12.9218,18.91,79,5,4.03,MA,1684970944
91,sungai penuh,-2.0833,101.3833,17.54,96,24,0.78,ID,1684970945
92,kuragino,53.8975,92.6725,4.35,59,8,1.08,RU,1684970945
93,zaozersk,69.4005,32.4476,11.48,65,100,9.12,RU,1684970945
94,ushuaia,-54.8,-68.3,2.81,93,75,1.03,AR,1684970945
95,buarcos,40.166,-8.8768,16.19,78,32,2.76,PT,1684970946
96,vilyuchinsk,52.9306,158.4028,14.15,79,10,2.73,RU,1684970946
97,cadale,2.7603,46.3222,26.84,79,66,5.23,SO,1684970946
98,puerto ayora,-0.7393,-90.3518,26.42,89,31,0.89,EC,1684970946
99,eyl,7.9803,49.8164,25.39,83,100,7.77,SO,1684970947
100,hithadhoo,-0.6,73.0833,27.94,76,99,4.34,MV,1684970947
101,nemuro,43.3236,145.575,9.43,73,76,4.1,JP,1684970947
102,derzhavinsk,51.1,66.3167,16.26,39,13,3.12,KZ,1684970947
103,maisi,43.0395,41.2621,12.81,85,46,2.41,GE,1684970948
104,tura,25.5198,90.2201,21.15,78,11,1.45,IN,1684970948
105,egilsstadir,65.2653,-14.3948,6.95,53,0,7.2,IS,1684970948
106,winburg,-28.518,27.0093,11.72,27,94,3.26,ZA,1684970948
107,badger,64.8,-147.5333,21.11,34,40,2.06,US,1684970949
108,whitehorse,60.7161,-135.0538,20.01,35,75,7.2,CA,1684970949
109,mount pearl,47.5166,-52.7813,8.19,82,20,3.09,CA,1684970949
110,hirara,24.8,125.2833,25.92,88,75,2.57,JP,1684970949
111,knysna,-34.0363,23.0471,14.82,64,90,1.27,ZA,1684970950
112,argo,37.6333,22.7333,17.66,73,3,1.06,GR,1684970950
113,washington,47.5001,-120.5015,21.44,45,58,3.13,US,1684970935
114,lindesberg,59.592,15.2304,14.92,69,100,3.86,SE,1684970950
115,shushenskoye,53.325,91.9356,5.95,54,77,0.76,RU,1684970951
116,yellowknife,62.456,-114.3525,14.29,62,75,3.6,CA,1684970951
117,hobyo,5.3505,48.5268,25.93,83,100,7.43,SO,1684970951
118,ambodifotatra,-16.9833,49.85,24.01,82,99,6.63,MG,1684970951
119,oshnaviyeh,37.0397,45.0983,13.7,55,82,1.27,IR,1684970952
120,lusambo,-4.9667,23.45,22.98,70,20,0.29,CD,1684970952
121,dudinka,69.4058,86.1778,0.05,93,99,0.37,RU,1684970687
122,lebu,-37.6167,-73.65,11.21,83,77,4.13,CL,1684970952
123,al bardiyah,31.7561,25.0865,19.0,85,11,4.89,LY,1684970953
124,catio,11.2833,-15.25,28.15,67,100,3.91,GW,1684970953
125,saint-pierre,-21.3393,55.4781,21.98,68,100,2.57,RE,1684970953
126,mizan teferi,6.9833,35.5833,16.21,95,80,1.66,ET,1684970953
127,tondabayashicho,34.5,135.6,17.76,59,75,1.03,JP,1684970954
128,nar'yan-mar,67.6713,53.087,13.03,92,19,4.14,RU,1684970954
129,soe,-9.8607,124.284,19.68,90,70,1.87,ID,1684970954
130,rio gallegos,-51.6226,-69.2181,5.03,52,75,8.23,AR,1684970797
131,sergeyevka,53.88,67.4158,14.94,48,23,1.02,KZ,1684970954
132,nadi,-17.8,177.4167,27.0,61,75,2.57,FJ,1684970668
133,la tuque,47.4334,-72.7824,10.14,53,67,6.17,CA,1684970955
134,portland,45.5234,-122.6762,25.31,45,20,5.66,US,1684970862
135,sogndal,61.2283,7.1003,6.21,92,77,2.31,NO,1684970956
136,carnarvon,-24.8667,113.6333,18.32,77,80,8.9,AU,1684970956
137,hami,42.8,93.45,18.0,23,2,4.16,CN,1684970874
138,rancho palos verdes,33.7445,-118.387,21.08,73,75,4.63,US,1684970823
139,ierapetra,35.01,25.7353,17.86,75,0,0.89,GR,1684970957
140,papatowai,-46.5619,169.4708,13.83,71,48,2.59,NZ,1684970957
141,ribeira grande,38.5167,-28.7,17.1,78,67,4.47,PT,1684970957
142,san patricio,28.017,-97.5169,31.4,60,41,5.18,US,1684970957
143,ta`u,-14.2336,-169.5144,27.36,77,88,1.74,AS,1684970957
144,port elizabeth,-33.918,25.5701,17.95,89,0,5.66,ZA,1684970958
145,keflavik,64.0049,-22.5624,6.95,65,75,12.35,IS,1684970958
146,nova sintra,14.8667,-24.7167,20.26,80,94,5.93,CV,1684970958
147,barbezieux-saint-hilaire,45.4726,-0.1522,15.49,69,26,4.96,FR,1684970959
